number,title,classification,timestamp,latitude,longitude
67745,_RARE_,Class B,2020-10-08 12:00:00,47.39319,-121.3485
1151,_RARE_,Class B,2007-11-07 12:00:00,45.10161,-77.32846
59808,_RARE_,Class B,2022-08-12 12:00:00,43.53277,-86.17616
17310,_RARE_,Class B,2006-10-26 12:00:00,44.3507,-75.01083
55603,_RARE_,Class A,1982-08-05 12:00:00,38.46868,-386.46798
47355,_RARE_,Class B,2010-02-28 12:00:00,46.96343,-95.91719
33780,_RARE_,Class A,1997-07-19 12:00:00,34.55154,-78.19752
1668,_RARE_,Class B,1991-06-15 12:00:00,40.65861,-94.08872
69755,_RARE_,Class B,2021-04-16 12:00:00,39.20486,-118.301
42944,_RARE_,Class B,1993-10-25 12:00:00,39.29473,-97.16301
48085,_RARE_,Class A,2013-09-10 12:00:00,38.13337,-82.17416
4987,_RARE_,Class A,2001-07-15 12:00:00,44.1966,-81.54265
58638,_RARE_,Class B,2020-07-13 12:00:00,44.49077,-80.52194
37689,_RARE_,Class A,2012-01-15 12:00:00,47.49226,-124.6946
2294,_RARE_,Class A,2000-07-14 12:00:00,36.5721,-121.2987
15964,_RARE_,Class A,1979-09-15 12:00:00,38.2744,-88.03045
28543,_RARE_,Class B,2009-10-12 12:00:00,47.83617,-84.84921
16616,_RARE_,Class B,1983-08-01 12:00:00,46.41999,-118.5376
25734,_RARE_,Class B,2006-10-26 12:00:00,46.94005,-121.31
43615,_RARE_,Class A,1958-01-07 12:00:00,39.8135,-85.638
13291,_RARE_,Class B,2001-08-25 12:00:00,47.57495,-110.0933
981,_RARE_,Class A,1997-06-30 12:00:00,42.33937,-122.7445
9110,_RARE_,Class B,2004-06-10 12:00:00,30.13331,-90.64078
27526,_RARE_,Class A,2009-06-08 12:00:00,31.78195,-93.5385
11382,_RARE_,Class B,2000-04-15 12:00:00,34.309,-80.511
10173,_RARE_,Class B,2003-04-29 12:00:00,44.0665,-80.7444
40797,_RARE_,Class B,2012-11-30 12:00:00,33.967,-97.85335
2454,_RARE_,Class B,1994-07-01 12:00:00,44.1586,-122.4384
46123,_RARE_,Class B,2006-11-15 12:00:00,41.5251,-111.7964
21984,_RARE_,Class B,1971-09-15 12:00:00,39.5372,-91.98435
52473,_RARE_,Class A,2012-10-09 12:00:00,37.4002,-97.0125
5601,_RARE_,Class B,2004-08-23 12:00:00,39.01881,-94.6586
13978,_RARE_,Class B,1995-10-25 12:00:00,41.2,-121.6383
59253,_RARE_,Class A,2018-10-08 12:00:00,30.5875,-95.4444
6510,_RARE_,Class A,1998-06-15 12:00:00,38.89753,-98.27215
23823,_RARE_,Class A,2000-07-14 12:00:00,28.24844,-91.84425
9631,_RARE_,Class B,2001-05-01 12:00:00,39.5676,-91.0155
33190,_RARE_,Class A,2003-12-26 12:00:00,36.61944,-98.83526
7042,_RARE_,Class A,1994-10-15 12:00:00,40.761,-89.4942
