number,title,classification,timestamp,latitude,longitude
15339,_RARE_,Class A,2006-11-05 12:00:00,34.8999,-84.76559
4101,_RARE_,Class B,2002-10-30 12:00:00,41.48643,-121.325
106,_RARE_,Class B,2000-07-01 12:00:00,40.4425,-80.6556
9756,_RARE_,Class B,1999-07-17 12:00:00,47.1864,-121.5935
22823,_RARE_,Class B,1993-11-03 12:00:00,36.19985,-81.525
26930,_RARE_,Class B,2003-09-20 12:00:00,42.37,-94.04
17361,_RARE_,Class B,2003-07-07 12:00:00,37.22148,-106.7309
1238,_RARE_,Class A,1976-07-20 12:00:00,38.67379,-85.3875
1100,_RARE_,Class A,1982-07-07 12:00:00,40.2513,-97.41644
29176,_RARE_,Class A,2003-05-18 12:00:00,33.10017,-80.49471
5152,_RARE_,Class B,2002-09-01 12:00:00,38.072,-122.072
15698,_RARE_,Class A,1972-09-15 12:00:00,46.8543,-120.4184
67160,_RARE_,Class A,2019-10-10 12:00:00,45.99856,-123.6742
2946,_RARE_,Class A,2000-01-06 12:00:00,30.37465,-93.5403
10781,_RARE_,Class A,1969-07-21 12:00:00,38.7154,-86.4996
7437,_RARE_,Class A,1977-11-01 12:00:00,39.54839,-91.1926
67222,_RARE_,Class A,2020-02-14 12:00:00,39.52144,-88.38378
20752,_RARE_,Class A,1975-07-15 12:00:00,25.8349,-82.15379
31177,_RARE_,Class A,2012-08-03 12:00:00,42.17864,-83.26586
2983,_RARE_,Class A,2000-07-01 12:00:00,38.9946,-76.66195
10465,_RARE_,Class A,1992-07-15 12:00:00,47.9816,-124.9965
40497,_RARE_,Class B,2013-10-09 12:00:00,39.15008,-120.1605
5594,_RARE_,Class A,1970-08-15 12:00:00,36.83225,-90.26399
15931,_RARE_,Class A,1982-06-14 12:00:00,29.38893,-81.17016
24958,_RARE_,Class A,2008-01-01 12:00:00,41.55775,-85.4611
13156,_RARE_,Class A,2006-09-12 12:00:00,30.17765,-81.07995
13344,_RARE_,Class B,2006-10-15 12:00:00,40.01309,-77.65965
43019,_RARE_,Class A,2008-02-14 12:00:00,40.61421,-87.94628
46271,_RARE_,Class A,2014-10-07 12:00:00,38.31954,-88.07409
6593,_RARE_,Class A,1978-10-19 12:00:00,40.697,-83.5484
27478,_RARE_,Class A,1980-12-25 12:00:00,39.6939,-89.645
254,_RARE_,Class A,2000-08-15 12:00:00,42.6883,-118.0041
2556,_RARE_,Class B,1991-09-04 12:00:00,35.72372,-82.41
35400,_RARE_,Class B,2012-07-04 12:00:00,35.95854,-89.735
35777,_RARE_,Class B,2012-07-25 12:00:00,51.96966,-123.9777
4925,_RARE_,Class B,1987-11-01 12:00:00,35.3,-89.655
15023,_RARE_,Class A,1974-06-08 12:00:00,36.63815,-81.77259
55370,_RARE_,Class B,2017-03-15 12:00:00,38.33982,-79.2447
10203,_RARE_,Class B,2003-04-24 12:00:00,38.732,-81.92915
64953,_RARE_,Class A,2020-11-21 12:00:00,44.69446,-81.24607
