number,title,classification,timestamp,latitude,longitude
39403,_RARE_,Class B,2018-08-15 12:00:00,40.91469,-80.49545
4406,_RARE_,Class A,2008-04-15 12:00:00,36.38075,-87.34859
54173,_RARE_,Class A,2012-12-13 12:00:00,35.383,-99.26226
15335,_RARE_,Class A,2006-03-15 12:00:00,37.91485,-119.1115
21075,_RARE_,Class C,1991-08-05 12:00:00,46.3165,-123.65
18958,_RARE_,Class A,1996-06-15 12:00:00,42.81451,-70.32738
17115,_RARE_,Class A,1996-12-15 12:00:00,47.2656,-122.2458
40135,_RARE_,Class B,2014-07-20 12:00:00,41.5803,-88.40302
51241,_RARE_,Class A,2019-06-08 12:00:00,37.47743,-92.44437
60964,_RARE_,Class B,2021-05-20 12:00:00,31.632,-92.12707
4503,_RARE_,Class B,2002-08-08 12:00:00,50.619,-127.6432
2077,_RARE_,Class A,1982-09-16 12:00:00,46.5615,-112.2345
40539,_RARE_,Class B,2011-12-27 12:00:00,39.1335,-94.4949
26261,_RARE_,Class B,2008-08-15 12:00:00,40.9298,-84.0755
288,_RARE_,Class A,2006-06-20 12:00:00,38.9583,-100.0905
11499,_RARE_,Class A,2007-05-07 12:00:00,34.75005,-95.422
1318,_RARE_,Class A,1996-11-01 12:00:00,41.8319,-89.6633
30383,_RARE_,Class B,2011-03-03 12:00:00,39.35,-80.80328
53546,_RARE_,Class A,2013-03-20 12:00:00,47.91072,-122.0352
42303,_RARE_,Class A,1982-08-07 12:00:00,38.72619,-90.84735
63381,_RARE_,Class B,2019-02-02 12:00:00,38.49492,-93.82762
25267,_RARE_,Class B,2009-08-30 12:00:00,37.65364,-116.055
1768,_RARE_,Class A,2002-07-01 12:00:00,46.06944,-123.0149
4766,_RARE_,Class A,2003-08-01 12:00:00,47.77335,-123.4248
37479,_RARE_,Class A,1979-07-15 12:00:00,36.2426,-118.957
23454,_RARE_,Class B,1974-09-04 12:00:00,31.93111,-81.54267
75294,_RARE_,Class A,2022-03-30 12:00:00,45.30436,-113.7914
1084,_RARE_,Class B,2000-06-01 12:00:00,34.6425,-90.45
6316,_RARE_,Class B,2001-07-06 12:00:00,49.4626,-111.9998
10538,_RARE_,Class A,2004-10-25 12:00:00,40.2557,-85.074
25637,_RARE_,Class B,2008-01-15 12:00:00,40.78204,-119.686
57484,_RARE_,Class A,2004-06-18 12:00:00,47.76803,-122.5794
36743,_RARE_,Class A,2014-08-01 12:00:00,37.14117,-82.46472
4826,_RARE_,Class A,2004-07-06 12:00:00,34.76676,-91.40911
65590,_RARE_,Class A,2019-02-26 12:00:00,46.26,-121.145
11282,_RARE_,Class A,1977-11-23 12:00:00,29.7214,-81.0487
2520,_RARE_,Class B,2001-12-30 12:00:00,39.07435,-84.4385
28636,_RARE_,Class A,2009-08-16 12:00:00,41.76996,-96.1867
1974,_RARE_,Class B,1992-11-01 12:00:00,45.85,-122.7627
9718,_RARE_,Class A,1968-08-15 12:00:00,49.87696,-124.1745
20766,_RARE_,Class A,1979-10-01 12:00:00,29.3217,-83.699
36294,_RARE_,Class B,2007-09-04 12:00:00,31.19465,-84.54999
7236,_RARE_,Class A,1977-10-01 12:00:00,48.98778,-120.1846
12231,_RARE_,Class B,1977-08-01 12:00:00,38.42255,-85.52004
28623,_RARE_,Class A,2010-12-10 12:00:00,36.20474,-130.2614
997,_RARE_,Class A,1976-03-01 12:00:00,44.86454,-79.25188
27211,_RARE_,Class A,2007-01-21 12:00:00,37.7949,-76.93
7536,_RARE_,Class A,2004-04-21 12:00:00,37.67027,-95.50076
34000,_RARE_,Class B,2016-10-10 12:00:00,34.57095,-88.67375
5141,_RARE_,Class A,2003-04-28 12:00:00,35.087,-85.62865
43792,_RARE_,Class B,2013-09-13 12:00:00,36.30129,-109.0625
21208,_RARE_,Class A,1991-10-15 12:00:00,35.91045,-118.5088
15473,_RARE_,Class B,2005-01-07 12:00:00,42.1936,-121.6839
8018,_RARE_,Class A,2004-11-01 12:00:00,43.67,-92.845
17224,_RARE_,Class B,1974-07-15 12:00:00,34.0633,-80.7239
6563,_RARE_,Class A,1978-07-17 12:00:00,46.48333,-121.9887
2009,_RARE_,Class B,1983-07-24 12:00:00,36.29405,-82.3356
612,_RARE_,Class A,1999-12-24 12:00:00,42.0424,-80.8291
5073,_RARE_,Class A,2004-02-10 12:00:00,38.11,-90.855
19529,_RARE_,Class A,2004-07-15 12:00:00,39.3798,-81.69335
8061,_RARE_,Class A,1981-03-15 12:00:00,61.61465,-111.4061
35237,_RARE_,Class A,2009-09-17 12:00:00,29.83,-91.972
24259,_RARE_,Class B,1993-04-24 12:00:00,28.94366,-81.08621
361,_RARE_,Class A,1996-11-25 12:00:00,48.69125,-115.9339
3754,_RARE_,Class A,1988-10-15 12:00:00,32.86267,-89.5445
18451,_RARE_,Class A,2003-05-02 12:00:00,47.04515,-89.70725
15351,_RARE_,Class B,2003-07-04 12:00:00,51.1057,-75.00555
24656,_RARE_,Class A,2006-07-23 12:00:00,31.625,-106.1241
1901,_RARE_,Class B,2002-07-19 12:00:00,39.8482,-106.8118
22270,_RARE_,Class C,2007-03-04 12:00:00,40.1168,-80.5664
41686,_RARE_,Class B,2013-08-23 12:00:00,38.962,-89.34425
3688,_RARE_,Class B,2000-09-01 12:00:00,38.4275,-86.3919
4372,_RARE_,Class A,1974-11-30 12:00:00,41.62947,-98.41071
9999,_RARE_,Class B,1982-12-19 12:00:00,41.48619,-82.44836
40267,_RARE_,Class A,2004-03-09 12:00:00,42.329,-91.42068
1759,_RARE_,Class B,1987-11-30 12:00:00,46.53674,-76.95117
1963,_RARE_,Class B,1978-09-01 12:00:00,38.10638,-116.8721
8079,_RARE_,Class B,1994-10-12 12:00:00,44.4407,-116.5267
69353,_RARE_,Class A,2020-03-25 12:00:00,43.12224,-116.7213
4799,_RARE_,Class A,1977-09-01 12:00:00,45.54962,-127.9667
1381,_RARE_,Class A,1972-03-01 12:00:00,25.65525,-81.46621
2762,_RARE_,Class A,2001-08-12 12:00:00,40.63881,-121.3288
29473,_RARE_,Class A,2001-09-26 12:00:00,34.10093,-82.02157
17082,_RARE_,Class B,2005-06-01 12:00:00,28.05893,-81.40027
66664,_RARE_,Class B,2018-06-30 12:00:00,45.40156,-123.2415
4620,_RARE_,Class B,2006-07-02 12:00:00,40.56925,-82.52546
18814,_RARE_,Class A,2003-11-09 12:00:00,47.806,-123.4179
19583,_RARE_,Class B,2007-05-22 12:00:00,36.4981,-81.70215
29215,_RARE_,Class B,2011-07-14 12:00:00,39.9476,-86.1505
27173,_RARE_,Class B,2007-12-03 12:00:00,30.75961,-91.51947
5153,_RARE_,Class B,2004-08-11 12:00:00,36.0223,-92.361
28385,_RARE_,Class B,1978-07-01 12:00:00,45.634,-122.35
2869,_RARE_,Class B,1984-05-16 12:00:00,46.71986,-120.8256
15357,_RARE_,Class A,2007-02-27 12:00:00,54.3982,-75.00566
2698,_RARE_,Class A,1980-07-01 12:00:00,38.3803,-114.5315
45652,_RARE_,Class B,2013-06-01 12:00:00,49.15972,-122.6022
75348,_RARE_,Class A,2018-11-29 12:00:00,28.83315,-81.85843
25769,_RARE_,Class A,2011-10-09 12:00:00,37.64914,-99.8015
6179,_RARE_,Class A,1958-07-04 12:00:00,39.43,-88.5989
1137,_RARE_,Class A,1998-07-03 12:00:00,38.98715,-109.905
19617,_RARE_,Class A,2006-03-19 12:00:00,40.43,-121.7
7443,_RARE_,Class A,1977-10-15 12:00:00,47.6144,-91.51125
19388,_RARE_,Class A,2005-08-13 12:00:00,33.346,-80.0104
1468,_RARE_,Class A,2001-09-24 12:00:00,42.81563,-94.18969
32545,_RARE_,Class B,1974-01-07 12:00:00,44.4927,-116.7437
1218,_RARE_,Class B,2004-11-17 12:00:00,30.74355,-93.464
58794,_RARE_,Class A,2015-12-23 12:00:00,39.34915,-83.72717
4003,_RARE_,Class A,1984-07-29 12:00:00,35.5305,-94.0182
1921,_RARE_,Class A,1990-05-01 12:00:00,46.02571,-120.0893
10534,_RARE_,Class B,2006-10-06 12:00:00,47.82835,-122.2665
30028,_RARE_,Class B,2011-07-18 12:00:00,36.60567,-83.54843
9697,_RARE_,Class A,1977-05-15 12:00:00,41.47793,-97.65363
3051,_RARE_,Class A,1997-04-10 12:00:00,41.59056,-91.7754
40128,_RARE_,Class B,2014-11-02 12:00:00,47.0343,-124.3466
1000,_RARE_,Class A,2003-06-09 12:00:00,30.18639,-96.5057
780,_RARE_,Class A,1992-07-15 12:00:00,37.54673,-84.70047
63422,_RARE_,Class A,2019-01-15 12:00:00,41.576,-96.3368
32959,_RARE_,Class A,2014-01-30 12:00:00,38.03291,-76.75717
46050,_RARE_,Class B,2014-11-08 12:00:00,43.473,-120.7635
19422,_RARE_,Class B,2004-12-07 12:00:00,37.5389,-98.27133
17592,_RARE_,Class B,2009-01-15 12:00:00,35.54,-87.43
28265,_RARE_,Class A,1992-07-01 12:00:00,47.36955,-97.62025
75312,_RARE_,Class B,2017-03-21 12:00:00,37.8467,-78.10586
15351,_RARE_,Class B,2006-10-02 12:00:00,46.5869,-84.71269
25138,_RARE_,Class A,2014-06-15 12:00:00,35.08527,-97.49482
12303,_RARE_,Class A,2006-04-09 12:00:00,37.3786,-93.52285
9855,_RARE_,Class A,2004-02-18 12:00:00,25.81544,-80.20035
31785,_RARE_,Class B,2013-03-15 12:00:00,46.57705,-124.7715
47303,_RARE_,Class A,2012-08-05 12:00:00,28.7395,-82.326
15991,_RARE_,Class B,1995-04-02 12:00:00,38.9641,-119.1377
13420,_RARE_,Class A,1992-08-20 12:00:00,39.3811,-87.25936
9101,_RARE_,Class B,1982-08-12 12:00:00,48.33635,-121.801
5747,_RARE_,Class A,2002-09-26 12:00:00,37.025,-108.128
63723,_RARE_,Class A,2021-09-26 12:00:00,48.8402,-121.4169
1655,_RARE_,Class A,1998-01-19 12:00:00,39.25,-94.0
11732,_RARE_,Class B,1994-07-12 12:00:00,38.96763,-120.6116
48834,_RARE_,Class A,2014-10-15 12:00:00,39.29965,-89.48494
35064,_RARE_,Class B,1981-10-19 12:00:00,44.52119,-86.129
63458,_RARE_,Class B,1997-11-01 12:00:00,38.24804,-89.17371
9077,_RARE_,Class A,2004-12-30 12:00:00,25.77685,-84.3755
1772,_RARE_,Class B,1977-10-01 12:00:00,45.3169,-108.5882
7833,_RARE_,Class B,2004-02-08 12:00:00,46.39646,-122.7577
10203,_RARE_,Class B,2004-10-23 12:00:00,33.69535,-86.87708
10916,_RARE_,Class A,1992-05-01 12:00:00,51.56006,-87.84803
536,_RARE_,Class A,1971-10-15 12:00:00,43.62633,-82.52974
24065,_RARE_,Class B,2001-03-04 12:00:00,41.12214,-122.3692
26624,_RARE_,Class A,2008-12-15 12:00:00,30.94525,-89.3057
3335,_RARE_,Class A,2003-02-28 12:00:00,42.7055,-70.003
19627,_RARE_,Class A,2005-09-15 12:00:00,43.90349,-88.35838
63199,_RARE_,Class B,1975-02-15 12:00:00,44.028,-124.2817
27374,_RARE_,Class A,2003-07-06 12:00:00,44.0304,-121.364
53935,_RARE_,Class B,2012-11-19 12:00:00,40.11472,-97.03219
67284,_RARE_,Class B,2022-10-29 12:00:00,47.17585,-121.2438
25031,_RARE_,Class B,2005-04-20 12:00:00,38.0475,-91.66
35127,_RARE_,Class A,1983-06-15 12:00:00,41.69,-83.6245
38593,_RARE_,Class B,1977-08-01 12:00:00,41.31453,-74.01567
75318,_RARE_,Class B,2014-07-21 12:00:00,42.75616,-95.36396
28136,_RARE_,Class B,2010-07-15 12:00:00,33.60557,-88.84362
42110,_RARE_,Class A,2013-12-26 12:00:00,41.40403,-76.22798
44071,_RARE_,Class A,2002-02-01 12:00:00,38.95928,-89.03516
26470,_RARE_,Class A,2010-09-13 12:00:00,41.80515,-80.0004
6807,_RARE_,Class B,1996-08-28 12:00:00,41.72954,-110.1628
24739,_RARE_,Class B,1982-09-29 12:00:00,39.80671,-82.17331
14343,_RARE_,Class A,2009-07-15 12:00:00,36.3869,-85.2145
4512,_RARE_,Class A,2001-12-20 12:00:00,45.75685,-122.3873
12510,_RARE_,Class A,2002-08-19 12:00:00,47.47005,-118.253
251,_RARE_,Class B,1975-10-15 12:00:00,36.86816,-82.59925
14239,_RARE_,Class A,2003-10-14 12:00:00,35.75749,-83.1416
1056,_RARE_,Class A,1999-03-13 12:00:00,30.36456,-85.87883
7942,_RARE_,Class A,1975-12-25 12:00:00,26.74849,-76.12421
2940,_RARE_,Class B,1987-07-03 12:00:00,45.0089,-119.76
30210,_RARE_,Class B,2008-01-18 12:00:00,39.778,-98.1017
17225,_RARE_,Class A,1999-04-01 12:00:00,37.86775,-82.38332
19847,_RARE_,Class A,2003-04-26 12:00:00,30.23137,-94.61677
30381,_RARE_,Class B,2013-09-27 12:00:00,39.00901,-86.10067
7726,_RARE_,Class A,1997-07-09 12:00:00,27.8494,-81.33875
15178,_RARE_,Class B,2006-05-08 12:00:00,35.49447,-89.36487
6519,_RARE_,Class A,1976-08-08 12:00:00,46.66056,-122.4313
21516,_RARE_,Class A,1975-08-01 12:00:00,38.6954,-122.0373
16697,_RARE_,Class B,2006-08-20 12:00:00,34.092,-72.48225
71009,_RARE_,Class B,2020-06-15 12:00:00,37.80758,-118.8727
7258,_RARE_,Class B,2003-01-01 12:00:00,37.3782,-75.79493
8083,_RARE_,Class A,2000-04-04 12:00:00,40.34933,-99.05953
4130,_RARE_,Class A,1976-10-06 12:00:00,31.3795,-93.0935
13718,_RARE_,Class B,2005-04-04 12:00:00,35.365,-73.94144
3515,_RARE_,Class A,2002-10-18 12:00:00,36.87215,-93.1268
45134,_RARE_,Class B,2015-04-26 12:00:00,36.194,-81.9935
55341,_RARE_,Class B,2018-09-28 12:00:00,42.45206,-121.8609
36253,_RARE_,Class B,2012-03-10 12:00:00,26.76774,-81.63097
24578,_RARE_,Class A,2006-12-08 12:00:00,41.26,-85.17075
639,_RARE_,Class A,2004-11-02 12:00:00,39.75372,-79.91471
28958,_RARE_,Class B,2012-11-15 12:00:00,29.27875,-82.0278
956,_RARE_,Class A,1972-09-01 12:00:00,47.1531,-122.6954
63530,_RARE_,Class B,2020-10-09 12:00:00,47.94773,-121.7479
9095,_RARE_,Class B,2004-11-09 12:00:00,45.29554,-84.81997
3007,_RARE_,Class B,1999-04-01 12:00:00,35.85275,-119.8881
48704,_RARE_,Class A,2014-12-12 12:00:00,33.29961,-88.53144
789,_RARE_,Class A,1968-02-15 12:00:00,41.68634,-69.0681
7593,_RARE_,Class B,2000-03-25 12:00:00,39.63336,-95.38764
8346,_RARE_,Class A,1983-07-01 12:00:00,41.8,-88.82825
46899,_RARE_,Class A,2014-10-21 12:00:00,44.68926,-86.93562
17169,_RARE_,Class A,2007-07-13 12:00:00,47.3233,-83.51
92,_RARE_,Class A,2000-07-10 12:00:00,38.57036,-94.3705
10880,_RARE_,Class A,1976-05-22 12:00:00,34.405,-77.9495
31539,_RARE_,Class A,2010-08-15 12:00:00,40.91528,-82.74357
39517,_RARE_,Class B,2012-08-05 12:00:00,43.36547,-81.40999
6533,_RARE_,Class A,2001-10-15 12:00:00,33.44254,-106.5593
7173,_RARE_,Class A,1992-05-01 12:00:00,36.303,-81.55005
15296,_RARE_,Class B,2006-11-23 12:00:00,46.28795,-122.3762
48423,_RARE_,Class A,2016-06-09 12:00:00,49.90529,-124.6466
67242,_RARE_,Class B,2002-10-13 12:00:00,43.7682,-123.6862
46063,_RARE_,Class B,2014-11-28 12:00:00,47.38724,-73.59213
65806,_RARE_,Class B,2020-06-12 12:00:00,47.78104,-122.6178
30713,_RARE_,Class B,2013-04-22 12:00:00,28.97115,-81.604
22848,_RARE_,Class A,1997-08-05 12:00:00,44.7434,-83.69512
42114,_RARE_,Class B,1986-11-21 12:00:00,40.2,-85.5833
1316,_RARE_,Class A,1998-04-01 12:00:00,40.64115,-84.6615
21738,_RARE_,Class B,2010-06-17 12:00:00,45.68645,-92.66243
